101107,S500,Q06,M,22-25
105620,S900,Q08,F,31-35
106016,Q3,Q04,F,31-35
108323,S500,Q04,F,26-30
109830,S900,Q08,F,31-35
110613,S900,Q11,M,26-30
111312,Q1,Q01,F,31-35
111716,Q3,Q04,F,31-35
112112,S900,Q11,M,26-30
113417,S1200,Q12,F,26-30
113821,S500,Q05,F,26-30
114924,Q1,Q01,M,26-30
116726,S900,Q08,M,26-30
118528,S500,Q04,F,26-30
120010,S1200,Q13,F,26-30
120515,S500,Q04,F,26-30
121719,S500,Q06,F,31-35
122418,S1200,Q13,F,26-30
122620,S500,Q05,M,26-30
124422,Q2,Q03,F,31-35
127327,S900,Q08,M,22-25
130518,S1200,Q07,F,31-35
134627,S1200,Q09,M,26-30
134728,S900,Q08,M,26-30
134829,S900,Q11,F,31-35
136126,S1200,Q09,M,26-30
136631,S1200,Q09,M,22-25
138130,S1200,Q09,F,31-35
139233,S500,Q04,F,31-35
139637,Q2,Q03,F,31-35
140117,S500,Q04,F,26-30
141826,S500,Q04,F,26-30
143830,S1200,Q06,F,26-30
145127,S900,Q08,M,22-25
145632,S1200,Q08,M,26-30
146129,MEG2,Q08,M,22-25
146836,S1200,Q11,M,26-30
147737,S500,Q06,F,31-35
148436,S900,Q08,M,26-30
148840,S500,Q04,F,22-25
150019,S900,Q12,M,26-30
150625,S500,Q04,M,26-30
151728,S500,Q04,M,31-35
155635,S500,Q04,F,26-30
156435,S900,Q11,M,22-25
158843,S900,Q08,M,26-30
161630,S500,Q04,F,26-30
162733,Q3,Q04,F,26-30
163432,Q2,Q02,F,31-35
165941,S1200,Q09,F,26-30
166438,S500,Q04,M,31-35
167238,S900,Q08,F,31-35
168139,S500,Q07,M,22-25
170631,S900,Q04,F,31-35
175035,S500,Q05,M,22-25
176239,S900,Q07,M,31-35
176744,S900,Q08,M,31-35
177140,S1200,Q13,F,31-35
177241,S900,Q08,M,26-30
178647,S900,Q08,F,31-35
178849,S500,Q06,M,22-25
180836,S500,Q05,F,31-35
181131,S500,Q06,F,31-35
181232,S500,Q04,F,26-30
185038,S1200,Q11,M,31-35
186040,S1200,Q09,M,26-30
189652,S1200,Q13,M,26-30
190132,S900,Q07,F,31-35
191841,S500,Q04,F,26-30
194847,S500,Q04,F,31-35
195849,S500,Q05,M,22-25
198249,S900,Q08,M,26-30
199655,Q3,Q03,M,31-35
199958,S500,Q05,M,31-35
200210,S900,Q11,M,26-30
201515,S900,Q09,M,26-30
202820,S1200,Q12,F,36+
203418,S500,Q04,M,26-30
204218,S1200,Q09,M,26-30
206929,S1200,Q12,M,31-35
211215,S500,Q04,M,26-30
211720,Q3,Q04,M,31-35
221218,S900,Q08,F,26-30
224022,Q3,Q03,F,26-30
227533,S1200,Q08,F,31-35
231928,S500,Q04,F,26-30
238033,S1200,Q09,M,31-35
257946,S1200,Q08,F,26-30
270332,S900,Q07,M,31-35
297655,S900,Q08,F,31-35
299760,S1200,Q09,M,26-30
308331,S500,Q04,M,26-30
336841,S900,Q08,M,26-30
339847,S500,Q04,F,26-30
360030,S1200,Q13,F,31-35
382242,S500,Q04,F,31-35
385046,S1200,Q09,M,26-30
386250,S500,Q04,M,22-25
392750,S1200,Q08,M,31-35
393550,S900,Q08,M,26-30
401422,S1200,Q08,F,31-35
413934,S1200,Q09,F,31-35
415837,S500,Q06,F,22-25
433839,S500,Q04,M,26-30
453441,S900,Q07,M,31-35
461743,S1200,Q11,M,26-30
462139,S1200,Q13,F,26-30
465852,S500,Q05,F,26-30
468050,S1200,Q08,F,31-35
469961,S1200,Q13,F,26-30
510326,S500,Q05,F,26-30
518746,S1200,Q12,M,22-25
522434,S500,Q05,F,26-30
552544,Q2,Q03,F,31-35
555954,S1200,Q09,M,26-30
558657,S1200,Q13,M,22-25
567759,S1200,Q09,F,26-30
580347,S500,Q04,F,26-30
590047,S1200,Q09,M,22-25
599469,S500,Q04,F,31-35
609143,S900,Q08,F,31-35
614439,S900,Q08,F,26-30
627549,Q2,Q02,F,31-35
628248,S900,Q08,M,26-30
644246,S1200,Q12,F,31-35
656657,S900,Q11,M,22-25
662551,MEG2,Q07,M,26-30
688569,S1200,Q02,F,26-30
706040,S900,Q08,F,22-25
709551,S500,Q06,F,31-35
723141,S1200,Q12,M,31-35
734045,Q2,Q03,M,22-25
763557,S1200,Q09,M,26-30
765864,S1200,Q08,F,26-30
767464,S900,Q09,F,26-30
771354,S500,Q04,F,26-30
779370,S500,Q04,F,26-30
783462,MEG2,Q08,M,22-25
786569,S500,Q04,F,31-35
792766,S500,Q04,M,31-35
804646,S1200,Q13,F,31-35
815247,S1200,Q08,M,26-30
818455,S1200,Q08,M,31-35
818859,S900,Q08,M,31-35
825553,S1200,Q09,M,26-30
872764,S500,Q06,F,26-30
880157,S900,Q08,M,31-35
902242,S1200,Q08,F,36+
943862,S1200,Q09,M,26-30
957974,S500,Q04,F,26-30
958976,S500,Q05,M,26-30
962058,S1200,Q08,M,26-30
965367,S500,Q07,M,31-35
969476,S1200,Q12,M,31-35
970764,S1200,Q09,F,22-25
987983,S500,Q04,F,26-30
994273,S500,Q06,M,26-30
